actor_i,actor_j,portfolio_emd_1d,geo_km,log_geo_km
China,United States,0.062070339558465,11574.979259646181,9.356601087129606
China,Uruguay,0.1151055078553449,17645.343793327545,9.778227219814577
China,Venezuela,0.3081049895592941,14929.180173369305,9.611072977663818
Colombia,Czechia,0.1594972022424977,9528.997764325735,9.16209482473023
Colombia,Denmark,0.07293108374049227,9144.286419967733,9.120884528252645
Colombia,Ecuador,0.1479307273564297,905.8465705456166,6.80886994351831
Colombia,Estonia,0.04897419964182728,10096.572666369084,9.21995130527706
Colombia,Finland,0.15765630343774414,10067.268009448999,9.217044648948706
Colombia,France,0.2900292704660109,8517.700863564824,9.049901731712572
Colombia,Germany,0.29503263608360436,9171.930714286935,9.12390308990292
Colombia,Greece,0.09717659641562468,10098.892058872183,9.220180999670811
Colombia,Iceland,0.11197536319738713,7996.287140106166,8.98673260544403
Colombia,India,0.21663238018596767,15800.892980884806,9.667821735195508
Colombia,Italy,0.2152645647535893,9309.488237276917,9.138789399617066
Colombia,Japan,0.13050807627685537,14527.313581261162,9.583785851738975
Colombia,Kazakhstan,0.0939348540199228,12981.901653015442,9.47131148592271
Colombia,Korea (DPRK),0.09793094693306503,14710.361930337946,9.596307417666557
Colombia,Korea (ROK),0.16060306451484352,15070.714247071051,9.620508685790787
Colombia,Malaysia,0.0620185869973881,18957.723622976806,9.849966706521702
Colombia,Netherlands,0.2744668547259476,8832.7306921495,9.086219497448628
Colombia,New Zealand,0.37064744438371233,12105.692791084053,9.401431099546464
Colombia,Norway,0.35275316053657013,9673.063940370106,9.177100388350931
Colombia,Peru,0.12137245168349883,1516.789710245869,7.324351347620857
Colombia,Poland,0.26784385644128494,9767.572080367674,9.186823206514761
Colombia,Portugal,0.08257438376149996,7524.191611972367,8.925878656865969
Colombia,Romania,0.09191399145287946,10204.84330366094,9.230617720266768
Colombia,Russian Federation,0.2368545128558951,12774.211417395649,9.455183684587022
Colombia,Slovakia,0.11197536319738713,9831.101369576194,9.193306248530954
Colombia,South Africa,0.23941461310625267,11061.379410096037,9.311214987922867
Colombia,Spain,0.299103250064232,7938.883249735334,8.97952789570129
Colombia,Sweden,0.2360338746250591,9475.931108103836,9.156510295107022
Colombia,Switzerland,0.04877474326096299,8984.169530813744,9.103219366544527
Colombia,Türkiye,0.06917455241729056,11269.887295820694,9.329889606612983
Colombia,Ukraine,0.2204169304650018,10651.752779126871,9.273479737795443
Colombia,United Kingdom,0.3622001162536888,8406.999191757712,9.036819874996088
Colombia,United States,0.3441007345566538,4598.5387127628455,8.43349386087051
Colombia,Uruguay,0.16886604593485707,4408.908552069983,8.391382443947549
Colombia,Venezuela,0.04709582981349642,830.2064213417544,6.721674370281575
Czechia,Denmark,0.17923922610048404,834.8102079584592,6.7272044031571046
Czechia,Ecuador,0.028987869691272084,10431.360517850218,9.252571982234807
Czechia,Estonia,0.12230276121156189,1168.2060248654725,7.063224538985028
Czechia,Finland,0.04336714154600993,1833.1431561347056,7.513787344154378
Czechia,France,0.13053206822351324,1041.6423168523627,6.948553897407441
Czechia,Germany,0.13553543384110675,405.45540369376243,6.005010888946994
Czechia,Greece,0.20348473877561646,1286.3271967389624,7.159546302248357
Czechia,Iceland,0.19676729383067657,2594.907097357011,7.861305994325995
Czechia,India,0.057135177943469985,6293.125998384132,8.747213205316665
Czechia,Italy,0.058318141105472676,831.156756985557,6.722818413630859
Czechia,Japan,0.05477733077064813,8939.782049095633,9.09826648857459
Czechia,Kazakhstan,0.2534320562624205,3643.612223895772,8.200730837760123
Czechia,Korea (DPRK),0.20122590574091817,7962.574365088123,8.982507639251327
Czechia,Korea (ROK),0.029722345172499175,8380.971472246883,9.03371911423282
Czechia,Malaysia,0.22151578923988577,9433.421702341202,9.152014162658693
Czechia,Netherlands,0.11496965248344991,754.256327467869,6.6257322670896555
Czechia,New Zealand,0.2111502421412147,18041.638424166435,9.800437611231287
Czechia,Norway,0.1932559582940725,3369.13787336163,8.122412166689585
Czechia,Peru,0.05287808767682516,10892.069164833425,9.295790203831643
Czechia,Poland,0.10834665419878738,342.948841444574,5.837581285734562
Czechia,Portugal,0.08260362756011441,2193.932092812566,7.693450689040114
Czechia,Romania,0.06939210460231557,767.0158475154884,6.64250746284284
Czechia,Russian Federation,0.0773573106133974,4576.82672242879,8.428761181608134
Czechia,Slovakia,0.19676729383067657,319.01421132314107,5.765235651394864
Czechia,South Africa,0.07991741086375506,8754.928147798622,9.077372037695826
Czechia,Spain,0.1396060478217343,1850.1288418909417,7.523010559912695
Czechia,Sweden,0.08082476880763138,1392.5464253517544,7.238889310816068
Czechia,Switzerland,0.13297579421608177,628.4064908330915,6.443187235470533
Czechia,Türkiye,0.16312279277991829,2002.1341408399398,7.60196896104709
Czechia,Ukraine,0.06839815360890916,1123.1664124533434,7.023907129381894
