model,window_end,mean_active_topics_mean,mean_active_topics_q05,mean_active_topics_q25,mean_active_topics_q75,mean_active_topics_q95,mean_topic_popularity_mean,mean_topic_popularity_q05,mean_topic_popularity_q25,mean_topic_popularity_q75,mean_topic_popularity_q95,mean_active_topics_obs,mean_topic_popularity_obs
one_stage,2025,5.999335106382978,5.732978723404256,5.8936170212765955,6.132978723404255,6.252127659574468,6.2659722222222225,5.987777777777778,6.155555555555556,6.405555555555556,6.529999999999999,4.659574468085107,4.866666666666666
split_support,1961,2.35546875,1.8333333333333333,2.1666666666666665,2.5833333333333335,2.75,0.628125,0.4888888888888889,0.5777777777777777,0.6888888888888889,0.7333333333333333,2.5833333333333335,0.6888888888888889
split_support,1962,2.4895833333333335,2.0,2.3333333333333335,2.6666666666666665,2.888888888888889,0.4979166666666667,0.4,0.4666666666666667,0.5333333333333333,0.5777777777777777,1.5555555555555556,0.3111111111111111
split_support,1964,2.8216145833333335,2.2625,2.5833333333333335,3.0833333333333335,3.4166666666666665,0.7524305555555556,0.6033333333333333,0.6888888888888889,0.8222222222222222,0.9111111111111111,2.5,0.6666666666666666
split_support,1966,2.4635416666666665,2.0125,2.25,2.604166666666667,2.9874999999999994,0.6569444444444444,0.5366666666666666,0.6,0.6944444444444444,0.7966666666666666,3.3333333333333335,0.8888888888888888
split_support,1968,2.05859375,1.5833333333333333,1.8958333333333335,2.1875,2.5,0.5489583333333333,0.4222222222222222,0.5055555555555555,0.5833333333333333,0.6666666666666666,2.0,0.5333333333333333
split_support,1970,3.1527777777777777,2.4611111111111112,2.888888888888889,3.361111111111111,3.888888888888889,0.6305555555555555,0.4922222222222222,0.5777777777777777,0.6722222222222222,0.7777777777777778,3.3333333333333335,0.6666666666666666
split_support,1972,2.933894230769231,2.3076923076923075,2.6153846153846154,3.1538461538461537,3.5384615384615383,0.8475694444444445,0.6666666666666666,0.7555555555555555,0.9111111111111111,1.0222222222222221,3.4615384615384617,1.0
split_support,1975,2.48125,2.0,2.2666666666666666,2.7333333333333334,3.0,0.8270833333333333,0.6666666666666666,0.7555555555555555,0.9111111111111111,1.0,3.0,1.0
split_support,1977,2.4888392857142856,2.0,2.3392857142857144,2.6607142857142856,3.0607142857142855,0.7743055555555556,0.6222222222222222,0.7277777777777777,0.8277777777777777,0.9522222222222222,3.2142857142857144,1.0
split_support,1979,2.7256944444444446,2.2222222222222223,2.4444444444444446,3.0277777777777777,3.3333333333333335,0.5451388888888888,0.4444444444444444,0.4888888888888889,0.6055555555555555,0.6666666666666666,2.888888888888889,0.5777777777777777
split_support,1981,1.775735294117647,1.4794117647058824,1.6470588235294117,1.8823529411764706,2.0588235294117645,0.6708333333333333,0.5588888888888889,0.6222222222222222,0.7111111111111111,0.7777777777777778,2.0588235294117645,0.7777777777777778
split_support,1983,1.946875,1.5,1.775,2.1,2.4,0.4326388888888889,0.3333333333333333,0.3944444444444445,0.4666666666666667,0.5333333333333333,2.4,0.5333333333333333
split_support,1985,1.826171875,1.446875,1.6875,1.953125,2.1875,0.6493055555555556,0.5144444444444444,0.6,0.6944444444444444,0.7777777777777778,1.875,0.6666666666666666
split_support,1987,1.8611111111111112,1.635185185185185,1.7407407407407407,1.962962962962963,2.105555555555555,1.1166666666666667,0.981111111111111,1.0444444444444445,1.1777777777777778,1.2633333333333332,2.5185185185185186,1.511111111111111
split_support,1989,2.248046875,1.9375,2.125,2.4375,2.5531249999999996,0.7993055555555556,0.6888888888888889,0.7555555555555555,0.8666666666666667,0.9077777777777777,2.875,1.0222222222222221
split_support,1991,2.148828125,1.95,2.05,2.25,2.37125,1.9100694444444444,1.7333333333333334,1.8222222222222222,2.0,2.1077777777777778,2.35,2.088888888888889
split_support,1992,2.7839285714285715,2.547142857142857,2.7071428571428573,2.857142857142857,3.024285714285714,2.165277777777778,1.9811111111111113,2.1055555555555556,2.2222222222222223,2.352222222222222,2.4857142857142858,1.9333333333333333
split_support,1994,2.2313368055555554,2.0319444444444446,2.111111111111111,2.3125,2.4638888888888886,1.7850694444444444,1.6255555555555556,1.6888888888888889,1.85,1.971111111111111,2.6944444444444446,2.1555555555555554
