draw,pair_key,pair_label,null_mean_jaccard
44,3-3,R3-R3,0.23227257464673792
45,1-1,R1-R1,0.07534132905122211
45,1-2,R1-R2,0.11674175914561284
45,1-3,R1-R3,0.1111700577004505
45,2-2,R2-R2,0.19298767617985613
45,2-3,R2-R3,0.20493755842777187
45,3-3,R3-R3,0.2346851249565124
46,1-1,R1-R1,0.1136916005495375
46,1-2,R1-R2,0.1177079964685798
46,1-3,R1-R3,0.1253687732261097
46,2-2,R2-R2,0.1791197808777413
46,2-3,R2-R3,0.20478172039318898
46,3-3,R3-R3,0.24575523437376515
47,1-1,R1-R1,0.059196588884528646
47,1-2,R1-R2,0.1056775641352693
47,1-3,R1-R3,0.12064874061926378
47,2-2,R2-R2,0.18405545508261836
47,2-3,R2-R3,0.21366963228721098
47,3-3,R3-R3,0.2515018563671045
48,1-1,R1-R1,0.09476301913678778
48,1-2,R1-R2,0.10253739842770163
48,1-3,R1-R3,0.13095807575393176
48,2-2,R2-R2,0.1918657988069981
48,2-3,R2-R3,0.20693593666849996
48,3-3,R3-R3,0.23263004288405267
49,1-1,R1-R1,0.11507486399830898
49,1-2,R1-R2,0.11120899273207495
49,1-3,R1-R3,0.12700993743545175
49,2-2,R2-R2,0.17777773123565438
49,2-3,R2-R3,0.2113766350898094
49,3-3,R3-R3,0.2398538957445453
50,1-1,R1-R1,0.056330471045148774
50,1-2,R1-R2,0.11059856006119623
50,1-3,R1-R3,0.11585081760963674
50,2-2,R2-R2,0.1885488569382774
50,2-3,R2-R3,0.21257226755566613
50,3-3,R3-R3,0.24245572401339913
51,1-1,R1-R1,0.08375638646360573
51,1-2,R1-R2,0.11921083892520133
51,1-3,R1-R3,0.12637179920127092
51,2-2,R2-R2,0.18176386235843722
51,2-3,R2-R3,0.20595417757404472
51,3-3,R3-R3,0.24479570028308953
52,1-1,R1-R1,0.06543960842089183
52,1-2,R1-R2,0.10921220670193385
52,1-3,R1-R3,0.11386208892973627
52,2-2,R2-R2,0.1875700067398015
52,2-3,R2-R3,0.21392371209792663
52,3-3,R3-R3,0.2377326125704322
53,1-1,R1-R1,0.08130690142018597
53,1-2,R1-R2,0.113916049457118
53,1-3,R1-R3,0.11476635456649624
53,2-2,R2-R2,0.18863081288789102
53,2-3,R2-R3,0.20957247706057616
53,3-3,R3-R3,0.21782516615470604
54,1-1,R1-R1,0.06401157667165268
54,1-2,R1-R2,0.10702682669797847
54,1-3,R1-R3,0.11404598319477229
54,2-2,R2-R2,0.19131352911639216
54,2-3,R2-R3,0.21030728753811487
